iter	Passed	Remaining
764	8414	2584
765	8426	2574
766	8436	2562
767	8447	2551
768	8458	2540
769	8469	2529
770	8479	2518
771	8490	2507
772	8500	2496
773	8511	2485
774	8523	2474
775	8533	2463
776	8544	2452
777	8555	2441
778	8565	2430
779	8576	2419
780	8587	2407
781	8597	2396
782	8609	2386
783	8620	2375
784	8631	2364
785	8642	2353
786	8653	2342
787	8664	2330
788	8675	2320
789	8686	2309
790	8696	2297
791	8708	2287
792	8719	2276
793	8729	2264
794	8738	2253
795	8748	2242
796	8759	2231
797	8770	2220
798	8780	2208
799	8792	2198
800	8803	2187
801	8813	2175
802	8824	2164
803	8835	2153
804	8845	2142
805	8855	2131
806	8867	2120
807	8877	2109
808	8889	2098
809	8900	2087
810	8912	2076
811	8923	2066
812	8934	2055
813	8945	2044
814	8956	2033
815	8967	2022
816	8977	2010
817	8987	1999
818	9000	1989
819	9010	1977
820	9021	1966
821	9032	1955
822	9042	1944
823	9053	1933
824	9064	1922
825	9075	1911
826	9085	1900
827	9096	1889
828	9106	1878
829	9117	1867
830	9127	1856
831	9138	1845
832	9149	1834
833	9159	1823
834	9170	1812
835	9181	1801
836	9191	1789
837	9202	1779
838	9213	1768
839	9223	1756
840	9234	1745
841	9245	1734
842	9255	1723
843	9267	1712
844	9278	1701
845	9288	1690
846	9298	1679
847	9309	1668
848	9320	1657
849	9331	1646
850	9342	1635
851	9352	1624
852	9363	1613
853	9374	1602
854	9385	1591
855	9396	1580
856	9408	1569
857	9419	1558
858	9430	1548
859	9441	1536
860	9452	1525
861	9463	1514
862	9474	1503
863	9484	1492
864	9495	1481
865	9506	1470
866	9516	1459
867	9527	1448
868	9539	1437
869	9549	1426
870	9559	1415
871	9570	1404
872	9581	1393
873	9592	1382
874	9603	1371
875	9613	1360
876	9624	1349
877	9634	1338
878	9645	1327
879	9656	1316
880	9666	1305
881	9677	1294
882	9687	1283
883	9698	1272
884	9709	1261
885	9719	1250
886	9730	1239
887	9741	1228
888	9752	1217
889	9762	1206
890	9773	1195
891	9785	1184
892	9795	1173
893	9806	1162
894	9816	1151
895	9827	1140
896	9838	1129
897	9849	1118
898	9859	1107
899	9870	1096
900	9881	1085
901	9891	1074
902	9902	1063
903	9913	1052
904	9924	1041
905	9935	1030
906	9945	1019
907	9955	1008
908	9966	997
909	9977	986
910	9988	975
911	10000	964
912	10010	953
913	10021	942
914	10032	931
915	10042	920
916	10052	909
917	10064	898
918	10074	887
919	10085	877
920	10096	866
921	10106	855
922	10117	844
923	10129	833
924	10139	822
925	10150	811
926	10178	801
927	10192	790
928	10204	779
929	10215	768
930	10226	757
931	10236	746
932	10247	735
933	10258	724
934	10269	713
935	10280	702
936	10290	691
937	10301	680
938	10312	669
